Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",interactionTime
11/23/2023 10:29:46,Yes,TikTok,18,Female,Student,0,hostel,Smartphone,Cellular Data,5,3,5,5,5,5,3,5,5,More than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 10:32:09,Yes,TikTok,21,Male,Student,0,hostel,Smartphone,Cellular Data,4,3,1,1,3,3,4,2,5,Less than 5 min,6:00 p.m - 12:00 a.m
11/23/2023 10:35:38,Yes,TikTok,18,Female,Student,0,hostel,Smartphone,Cellular Data,5,4,3,1,5,2,4,3,5,Less than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 10:39:32,Yes,TikTok,21,Female,Student,0,hostel,Smartphone,Wifi,4,3,2,2,4,4,2,3,3,Less than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 10:57:31,Yes,TikTok,21,Male,Student,0,hostel,Smartphone,Cellular Data,4,4,1,1,5,5,1,2,2,More than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 10:57:49,Yes,TikTok,18,Female,Student,0,hostel,Smartphone,Cellular Data,5,5,3,2,4,4,2,3,2,More than 5 min,6:00 p.m - 12:00 a.m
11/23/2023 11:05:13,Yes,Instagram,19,Female,Student,0,hostel,Smartphone,Wifi,4,3,1,1,5,5,1,5,5,Less than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 11:15:11,Yes,Instagram,21,Male,Student,0,Hostel,Smartphone,Wifi,5,5,1,1,4,3,1,2,1,More than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 11:40:13,Yes,Twitter,23,Male,Student,0,hostel,Smartphone,Wifi,4,1,1,1,5,5,2,2,5,Less than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 12:38:05,Yes,TikTok,70,Male,Unemployee,100000-300000,Kiamsam,Smartphone,Wifi jiran,5,5,3,3,1,1,1,1,1,More than 5 min,12:00 p.m - 6:00 p.m
11/23/2023 12:39:13,Yes,TikTok,20,Female,Student,0,hostel,Smartphone,Cellular Data,5,3,4,2,3,3,1,5,5,More than 5 min,6:00 p.m - 12:00 a.m
11/23/2023 12:42:04,Yes,TikTok,20,Female,Student,0,Hostel,Smartphone,Cellular Data,4,5,2,1,4,5,1,4,3,More than 5 min,6:00 a.m - 12:00 p.m
